"","FID","Lat","Lon","MS_sst05_5m","MS_sst06_5m","MS_sst07_5m","MS_sss05_5m","MS_sss06_5m","MS_sss07_5m","BO_ph"
"27","CUS",46.9602,-54.15583,3.22000002861023,6.1100001335144,12.1000003814697,32.2000007629395,32.0499992370605,31.8799991607666,8.15499973297119
"28","DLR",48.016,-56.56547,1.12999999523163,11.0500001907349,12.9499998092651,31.7600002288818,31.6800003051758,31.4599990844727,8.06799983978271
"29","EA",53.53333,-57.4667,1.3400000333786,3.03999996185303,8.14999961853027,30.9799995422363,30.3099994659424,29.5300006866455,8.14400005340576
"30","ENG",54.97,-59.75,0.159999996423721,1.77999997138977,6.78000020980835,33.060001373291,31.9699993133545,30.2199993133545,8.15499973297119
"31","FHB",47.54232,-53.891,2.77999997138977,6.59000015258789,13.3100004196167,32.1300010681152,31.9300003051758,31.6299991607666,8.16199970245361
"32","FLB",48.4064,-58.5789,2.3199999332428,7.90000009536743,16.1700000762939,31.4699993133545,31.2999992370605,30.9799995422363,7.94999980926514
"33","FO",51.48467,-56.9448,0.419999986886978,1.78999996185303,10.4200000762939,31.2299995422363,30.2600002288818,29.8400001525879,8.02200031280518
"34","GAK",45.06,-64.38,5.28999996185303,11.2299995422363,15.6700000762939,30.2099990844727,29.6000003814697,29.5900001525879,7.96799993515015
"35","GAR",47.23,-55.35,2.97000002861023,6.05000019073486,13.539999961853,32.0900001525879,31.9899997711182,31.8199996948242,8.11299991607666
"36","GBW",47.12403,-54.05613,3.0699999332428,6.03999996185303,12.1800003051758,32.1699981689453,32.0200004577637,31.8099994659424,8.15799999237061
"37","GRB",49.6228,-56.1697,0.740000009536743,2.4300000667572,12.1199998855591,32.2299995422363,31.6000003814697,30.9500007629395,8.07800006866455
"38","H",55.56836,-60.6697,0.140000000596046,1.75,5.59999990463257,33.6100006103516,32,30.0599994659424,8.15900039672852
"39","IAM",47.59,-59.01,2.73000001907349,6.67000007629395,12.1099996566772,31.1700000762939,31,30.6800003051758,7.96099996566772
"40","INH",45.60027778,-61.22527778,2.15000009536743,10.2799997329712,14.8400001525879,30.6299991607666,30.3600006103516,29.8999996185303,7.94099998474121
"41","JGC",45.8611,-61.4912,4.30000019073486,10.3900003433228,17.8799991607666,30.5300006866455,30.1900005340576,29.75,7.95699977874756
"42","JU",49.46666667,-63.58333333,2.36999988555908,8.31999969482422,13.6499996185303,30.0400009155273,29.1499996185303,28.7600002288818,7.80200004577637
"43","KED",47.91413,-67.91258,2.54999995231628,10.0799999237061,13.1099996566772,28.2600002288818,26.8500003814697,26.8199996948242,7.72100019454956
"44","KE",53.482,-59.9128,0.600000023841858,2.02999997138977,4.5,31.6800003051758,30.75,29.3899993896484,8.21000003814697
"45","KOU",46.74381667,-65.20271667,5.15999984741211,11.3299999237061,16.7800006866455,28.8199996948242,27.6800003051758,27.6100006103516,7.83300018310547
