,Long,Lat,Model,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,LongitudePoints,LatitudePoints
110,-62.74618285,46.26392522,BioSimMap,6.200239391,8.253212626,22.59767793,960.9890717,24.30564304,-12.02171063,36.28875095,4.343993098,8.925667371,17.84325279,-5.622923694,1151.592983,176.8671203,38.94650964,41.85904475,399.3307361,190.454176,259.8145506,281.7492058,-62.71,46.3
111,-62.91278668,45.51437793,BioSimMap,6.202603654,9.892789329,26.48272482,939.9766965,24.98145136,-12.44352049,37.43663081,5.293989214,10.51868349,17.57776898,-5.401377416,1251.015859,197.4467411,45.05784816,43.01100466,441.2733958,209.9684082,284.2013315,314.0162476,-62.88,45.54
112,-62.91278668,50.34479376,BioSimMap,1.403794635,9.241012317,23.59887481,1025.184942,19.71842733,-19.58434424,39.32340222,5.349167941,-5.864000172,13.36750519,-11.74714979,1016.700611,158.9609462,29.69595858,47.10935816,357.5851597,142.1433359,278.3039551,191.4475842,-62.88,50.28
113,-63.32929626,45.34781187,BioSimMap,6.033942246,10.2474077,27.34936942,934.606679,24.7640546,-12.8514732,37.62632724,4.560213303,10.08753428,17.30829618,-5.542763629,1281.414581,199.633605,46.2918195,42.40890354,450.6112217,214.7736906,291.6739379,322.1378613,-63.31,45.38
114,-63.41259818,45.18124581,BioSimMap,6.367203445,10.07523604,27.5948825,907.4198742,24.6171514,-12.06664986,36.68166351,5.364887125,10.63536175,17.31989623,-4.885879883,1268.742082,194.7268351,45.14427799,42.09033389,443.9748342,212.0890265,289.5868832,314.2519889,-63.38,45.14
115,-63.49590009,46.26392522,BioSimMap,5.872608534,8.482974901,23.07943647,971.5129141,24.10955113,-12.72558175,36.82324582,5.717140663,6.137313873,17.55562343,-6.176645988,1141.142176,176.5955256,38.36227068,42.80209281,401.5670814,189.2304706,266.5976352,268.6681563,-63.49,46.28
116,-63.57920201,49.42868042,BioSimMap,2.508004463,8.511542099,22.79612327,985.4221281,20.49785172,-16.96917734,37.43988772,5.632158509,-2.496024308,14.2301127,-9.886837314,1064.671354,163.1944377,36.37568609,42.80554846,368.4648869,170.8784543,277.0667408,217.5460495,-63.58,49.47
117,-63.82910776,45.59766097,BioSimMap,5.850960732,9.978235966,26.52714687,950.3881717,24.48940449,-13.20262918,37.7368272,3.500575448,9.563960576,17.24913988,-5.959888545,1302.617634,203.6683822,43.92456297,42.83670625,460.3205641,212.7934862,281.6486842,327.0586834,-63.82,45.59
118,-64.07901351,46.59705734,BioSimMap,5.788867892,8.702513578,23.13637506,990.9052481,24.48353339,-13.21212408,37.68182392,5.313299793,5.489825631,17.71665994,-6.522207394,1041.206629,154.7024464,35.44890264,41.49042488,358.5192916,176.2300685,252.9634876,237.9499195,-64.04,46.63
119,-64.32891926,44.51498156,BioSimMap,7.254838094,9.375233767,27.38021404,861.8366401,24.47819947,-9.815908572,34.30133192,5.547998018,12.33587525,17.62133082,-3.325222007,1359.321066,211.84429,42.76456326,43.77294754,482.4834751,217.2967712,288.6198005,348.9838458,-64.33,44.55
120,-64.32891926,50.34479376,BioSimMap,0.924073256,9.406125418,24.28502823,1004.290642,18.96196463,-19.93694699,38.88647991,3.395531751,-4.836664185,12.65354059,-12.05848384,1099.539222,175.6400349,33.0112965,46.65756928,392.7724364,160.0880592,284.818218,217.1239185,-64.33,50.28
121,-64.41222117,45.09796278,BioSimMap,6.825200139,10.11648527,27.39170907,925.3293502,25.3629102,-11.71418706,37.03045236,5.238062694,10.20008404,17.96615722,-4.686279582,1134.824299,174.666853,37.68498411,42.43500109,393.0524433,191.2814766,263.557385,284.5914251,-64.38,45.06
122,-64.49552309,44.34841549,BioSimMap,7.100627236,9.772354359,27.86594372,877.2989308,24.8693368,-10.27100041,35.10800241,4.057539819,13.62418814,17.7553898,-3.70662495,1450.856835,228.1185731,46.25300333,44.18181317,518.5567285,229.5899785,290.870681,386.9869482,-64.5,44.37
123,-64.66212692,44.0985664,BioSimMap,7.393070733,9.618782451,28.73323748,825.5647226,23.99998851,-9.46480829,33.4764382,4.044174243,13.52228842,17.31835272,-2.81802519,1449.023244,231.7750691,43.14349468,45.58300302,517.3192131,226.0326372,288.7764591,384.2691658,-64.64,44.14
124,-64.99533459,45.59766097,BioSimMap,5.108434886,9.788750183,25.93963818,972.742259,23.79120003,-14.09270273,37.85822789,0.534080771,11.49988023,16.77502209,-6.980596897,1548.874824,240.8509827,49.87668924,43.92169785,549.356452,247.2443353,308.9542958,417.0456081,-64.96,45.61
125,-65.16193842,46.34720825,BioSimMap,5.481321195,10.83244031,26.55706936,1036.443931,25.71303219,-15.20048095,40.95491716,5.593746675,7.025984237,17.88588824,-7.455860307,1168.748294,174.3877887,40.6616691,41.77604382,395.1225995,199.7976899,276.6976672,286.893615,-65.15,46.36
126,-65.16193842,46.76362341,BioSimMap,5.321022906,11.05214833,26.62531946,1050.402061,25.90401226,-15.7466009,41.69554836,4.760245424,6.863050119,17.935719,-7.80311831,1161.060877,177.5063834,40.18049756,43.20643248,396.1712044,196.8752425,278.2745996,284.608059,-65.2,46.74
127,-65.32854226,49.17883132,BioSimMap,2.343905042,8.873792927,22.75334493,1043.213721,21.39317219,-17.71873193,39.07143737,3.371426003,1.516657387,14.81673666,-10.77417304,969.8774816,142.8624135,34.38905353,39.48083426,326.9072348,164.2868282,241.1284576,233.1121655,-65.32,49.23
128,-65.41184417,45.4310949,BioSimMap,5.785775068,10.10711163,26.87387513,950.9990592,24.25780171,-13.53887525,37.75911247,2.41174289,10.57251383,17.14473441,-6.173627092,1353.837862,207.9287811,43.82695617,43.5157821,472.8441356,220.7436296,287.4270515,356.3677841,-65.41,45.42
129,-65.91165567,47.18003856,BioSimMap,4.491461097,11.30564971,26.45036553,1088.556815,25.34314658,-17.50509199,42.93577455,8.337609884,1.95913855,17.38408677,-9.206321112,1092.43661,164.5579266,35.28086265,42.99983681,373.6561041,180.9702452,293.9409474,245.9301002,-65.94,47.17
