FID	IID	Rivername	Region	Lat	Lon	Dataset
ARO	ARO12_Sasa_Red_81_H05	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_83_A06	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_84_B06	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_85_C06	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_87_D06	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
Alta	Alta_12_0030_E11	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0039_F11	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0053_G11	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0072_H11	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0083_A12	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0099_C12	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0118_D12	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0124_E12	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0145_G12	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0156_A01	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0163_B01	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0179_D01	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0201_F01	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0228_H01	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0238_A02	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0280_C02	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0302_E02	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0313_F02	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Alta	Alta_12_0348_H02	Altaelva	Norway	69.97	23.37	May 2021 5700 Recluster
Arda	Arda_11_0003_D02	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0032_G02	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0033_H02	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0035_A03	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0042_B03	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0073_D03	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0087_F03	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0094_G03	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0096_H03	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0103_A04	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0107_C04	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0111_E04	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0114_G04	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0115_H04	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0116_A05	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0176_D05	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0182_F05	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arda	Arda_11_0195_H05	Ardalselva	Norway	59.14	6.17	May 2021 5700 Recluster
Arga	Arga_12_0002_E11	Argardsvassdraget	Norway	64.31	11.22	May 2021 5700 Recluster
Arga	Arga_12_0007_F11	Argardsvassdraget	Norway	64.31	11.22	May 2021 5700 Recluster
Arga	Arga_12_0008_G11	Argardsvassdraget	Norway	64.31	11.22	May 2021 5700 Recluster
Arga	Arga_12_0015_H11	Argardsvassdraget	Norway	64.31	11.22	May 2021 5700 Recluster
Arga	Arga_12_0026_A12	Argardsvassdraget	Norway	64.31	11.22	May 2021 5700 Recluster
Arga	Arga_12_0028_B12	Argardsvassdraget	Norway	64.31	11.22	May 2021 5700 Recluster
Arga	Arga_12_0039_C12	Argardsvassdraget	Norway	64.31	11.22	May 2021 5700 Recluster
Arga	Arga_12_0046_D12	Argardsvassdraget	Norway	64.31	11.22	May 2021 5700 Recluster
Arga	Arga_12_0067_F12	Argardsvassdraget	Norway	64.31	11.22	May 2021 5700 Recluster
Arga	Arga_12_0075_G12	Argardsvassdraget	Norway	64.31	11.22	May 2021 5700 Recluster
Arga	Arga_12_0082_F02	Argardsvassdraget	Norway	64.31	11.22	May 2021 5700 Recluster
Arga	Arga_12_0118_E01	Argardsvassdraget	Norway	64.31	11.22	May 2021 5700 Recluster
Arga	Arga_12_0121_F01	Argardsvassdraget	Norway	64.31	11.22	May 2021 5700 Recluster
Aroy	Aroy_12_0002_E09	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0003_F09	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0010_H09	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0016_B10	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0018_C10	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0026_G10	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0040_H10	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0058_F11	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0062_G11	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0069_A12	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0073_B12	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0078_D12	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0079_E12	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0081_F12	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0084_G12	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aroy	Aroy_12_0085_A01	Aroyelva	Norway	61.27	7.17	May 2021 5700 Recluster
Aurs	Aurs_11_0001_A09	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0002_B09	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0003_C09	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0004_D09	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0006_E09	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0007_F09	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0008_G09	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
Aurs	Aurs_11_0009_H09	Aursunda	Norway	64.37	11.39	May 2021 5700 Recluster
